full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,61528,61528,4593,97,97,7,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,32875,32875,3994,482,482,65,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,15570,15570,3454,44,44,3,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,26740,26740,2080,24,24,-1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,18616,18616,1701,30,30,3,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,22083,22083,1249,19,19,0,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5362,5362,1400,4,4,3,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8654,8654,1125,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,8931,8931,968,22,22,1,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3545,3545,523,0,0,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5124,5124,436,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
frankbria/ralph-claude-code,5824,5824,400,23,23,3,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,3702,3702,549,23,23,3,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,2936,2936,396,1,1,0,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5288,5288,201,0,0,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3225,3225,291,3,3,1,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,2020,2020,352,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6327,6327,309,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
