full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,82635,82635,6923,136,136,17,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,107396,107396,13968,885,885,151,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,38717,38717,6084,163,163,21,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,30410,30410,2350,19,19,3,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,32346,32346,2245,86,86,4,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,23562,23562,2272,21,21,5,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,21935,21935,1904,89,89,7,https://github.com/shanraisshan/claude-code-best-practice
anthropics/claude-code-action,6580,6580,1594,9,9,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,15147,15147,1692,27,27,4,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9337,9337,1196,1,1,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8178,8178,594,9,9,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,6661,6661,904,40,40,6,https://github.com/Piebald-AI/claude-code-system-prompts
ykdojo/claude-code-tips,6729,6729,461,17,17,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5575,5575,489,-1,-1,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3743,3743,550,2,2,0,https://github.com/OneRedOak/claude-code-workflows
Donchitos/Claude-Code-Game-Studios,4830,4830,634,327,327,32,https://github.com/Donchitos/Claude-Code-Game-Studios
pedrohcgs/claude-code-my-workflow,760,760,1411,2,2,10,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3301,3301,431,1,1,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3406,3406,587,5,5,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3722,3722,344,4,4,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5288,5288,197,0,0,0,https://github.com/kodu-ai/claude-coder
anthropics/skills,102767,102767,11291,211,211,31,https://github.com/anthropics/skills
qwibitai/nanoclaw,25447,25447,8681,39,39,72,https://github.com/qwibitai/nanoclaw
Yuyz0112/claude-code-reverse,2265,2265,375,11,11,3,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,7135,7135,345,8,8,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
fuergaosi233/claude-code-proxy,2233,2233,316,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2243,2243,290,1,1,1,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-security-review,3992,3992,338,9,9,0,https://github.com/anthropics/claude-code-security-review
Cranot/claude-code-guide,2519,2519,263,0,0,0,https://github.com/Cranot/claude-code-guide
ding113/claude-code-hub,2103,2103,245,3,3,1,https://github.com/ding113/claude-code-hub
anthropics/claude-code-base-action,623,623,588,1,1,-1,https://github.com/anthropics/claude-code-base-action
edmund-io/edmunds-claude-code,1353,1353,278,0,0,0,https://github.com/edmund-io/edmunds-claude-code
FlorianBruniaux/claude-code-ultimate-guide,2240,2240,333,13,13,2,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
https-deeplearning-ai/sc-claude-code-files,463,463,624,0,0,-1,https://github.com/https-deeplearning-ai/sc-claude-code-files
router-for-me/CLIProxyAPI,20106,20106,3261,82,82,9,https://github.com/router-for-me/CLIProxyAPI
Pimzino/claude-code-spec-workflow,3581,3581,250,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,32248,32248,3520,14,14,1,https://github.com/wshobson/agents
sickn33/antigravity-awesome-skills,27338,27338,4613,81,81,14,https://github.com/sickn33/antigravity-awesome-skills
snarktank/ralph,13746,13746,1410,21,21,1,https://github.com/snarktank/ralph
obra/superpowers,112385,112385,9001,519,519,41,https://github.com/obra/superpowers
zhukunpenglinyutong/idea-claude-code-gui,2143,2143,242,3,3,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
feiskyer/claude-code-settings,1366,1366,203,3,3,0,https://github.com/feiskyer/claude-code-settings
eyaltoledano/claude-task-master,26175,26175,2456,12,12,2,https://github.com/eyaltoledano/claude-task-master
carlvellotti/claude-code-pm-course,1671,1671,252,1,1,0,https://github.com/carlvellotti/claude-code-pm-course
wanshuiyin/Auto-claude-code-research-in-sleep,4032,4032,323,61,61,6,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
sugyan/claude-code-webui,980,980,226,0,0,0,https://github.com/sugyan/claude-code-webui
bfly123/claude_code_bridge,1860,1860,171,8,8,4,https://github.com/bfly123/claude_code_bridge
centminmod/my-claude-code-setup,2104,2104,209,1,1,0,https://github.com/centminmod/my-claude-code-setup
siteboon/claudecodeui,8928,8928,1141,14,14,4,https://github.com/siteboon/claudecodeui
lst97/claude-code-sub-agents,1489,1489,235,0,0,0,https://github.com/lst97/claude-code-sub-agents
ghuntley/claude-code-source-code-deobfuscation,871,871,423,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
darcyegb/ClaudeCodeAgents,624,624,55,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
anthropics/claude-plugins-official,14630,14630,1537,39,39,12,https://github.com/anthropics/claude-plugins-official
nishimoto265/Claude-Code-Communication,495,495,237,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
slopus/happy,16179,16179,1284,19,19,1,https://github.com/slopus/happy
rizethereum/claude-code-requirements-builder,1759,1759,173,-1,-1,0,https://github.com/rizethereum/claude-code-requirements-builder
catlog22/Claude-Code-Workflow,1585,1585,131,3,3,0,https://github.com/catlog22/Claude-Code-Workflow
alirezarezvani/claude-skills,6913,6913,822,63,63,10,https://github.com/alirezarezvani/claude-skills
trailofbits/claude-code-config,1669,1669,129,1,1,0,https://github.com/trailofbits/claude-code-config
Njengah/claude-code-cheat-sheet,1482,1482,187,3,3,1,https://github.com/Njengah/claude-code-cheat-sheet
andrepimenta/claude-code-chat,1006,1006,156,0,0,0,https://github.com/andrepimenta/claude-code-chat
Alishahryar1/free-claude-code,1136,1136,141,9,9,1,https://github.com/Alishahryar1/free-claude-code
steipete/claude-code-mcp,1199,1199,148,1,1,0,https://github.com/steipete/claude-code-mcp
farion1231/cc-switch,33368,33368,2006,127,127,13,https://github.com/farion1231/cc-switch
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2347,2347,389,7,7,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
rohitg00/awesome-claude-code-toolkit,902,902,212,3,3,1,https://github.com/rohitg00/awesome-claude-code-toolkit
jeremylongshore/claude-code-plugins-plus-skills,1710,1710,216,2,2,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
disler/claude-code-hooks-multi-agent-observability,1298,1298,360,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
JessyTsui/Claude-Code-Remote,1187,1187,129,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
simonw/claude-code-transcripts,1163,1163,138,1,1,1,https://github.com/simonw/claude-code-transcripts
0xfurai/claude-code-subagents,795,795,143,0,0,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,998,998,125,1,1,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1616,1616,104,1,1,0,https://github.com/pchalasani/claude-code-tools
winfunc/opcode,21094,21094,1621,0,0,0,https://github.com/winfunc/opcode
d-kimuson/claude-code-viewer,1000,1000,117,0,0,0,https://github.com/d-kimuson/claude-code-viewer
ComposioHQ/awesome-claude-skills,47815,47815,4918,73,73,11,https://github.com/ComposioHQ/awesome-claude-skills
peterkrueck/Claude-Code-Development-Kit,1331,1331,151,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
cixingguangming55555/wechat-bot,2531,2531,662,0,0,-1,https://github.com/cixingguangming55555/wechat-bot
alirezarezvani/claude-code-tresor,641,641,142,1,1,0,https://github.com/alirezarezvani/claude-code-tresor
anthropics/claude-agent-sdk-demos,1835,1835,281,2,2,0,https://github.com/anthropics/claude-agent-sdk-demos
revfactory/claude-code-mastering,764,764,124,0,0,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,1048,1048,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
jarrodwatts/claude-hud,13139,13139,541,135,135,6,https://github.com/jarrodwatts/claude-hud
timothywarner-org/claude-code,204,204,31,0,0,0,https://github.com/timothywarner-org/claude-code
Yeachan-Heo/oh-my-claudecode,11475,11475,780,139,139,7,https://github.com/Yeachan-Heo/oh-my-claudecode
bytedance/deer-flow,45901,45901,5428,635,635,91,https://github.com/bytedance/deer-flow
severity1/claude-code-prompt-improver,1308,1308,111,0,0,-1,https://github.com/severity1/claude-code-prompt-improver
daymade/claude-code-skills,722,722,111,1,1,0,https://github.com/daymade/claude-code-skills
code-yeongyu/oh-my-openagent,43443,43443,3222,76,76,9,https://github.com/code-yeongyu/oh-my-openagent
ccplugins/awesome-claude-code-plugins,646,646,153,0,0,-1,https://github.com/ccplugins/awesome-claude-code-plugins
ericbuess/claude-code-docs,754,754,104,0,0,0,https://github.com/ericbuess/claude-code-docs
anthropics/claude-agent-sdk-python,5741,5741,770,5,5,1,https://github.com/anthropics/claude-agent-sdk-python
opactorai/Claudable,3832,3832,576,0,0,0,https://github.com/opactorai/Claudable
MadAppGang/claude-code,247,247,26,1,1,0,https://github.com/MadAppGang/claude-code
disler/pi-vs-claude-code,551,551,158,3,3,0,https://github.com/disler/pi-vs-claude-code
lyconear/Claude-Code,4,4,149,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1955,1955,63,1,1,0,https://github.com/greggh/claude-code.nvim
numman-ali/openskills,9228,9228,589,3,3,0,https://github.com/numman-ali/openskills
anomalyco/opencode,130237,130237,13811,174,174,24,https://github.com/anomalyco/opencode
PleasePrompto/notebooklm-skill,5018,5018,523,10,10,1,https://github.com/PleasePrompto/notebooklm-skill
