full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,90900,90900,11355,1657,1657,935,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,126650,126650,17282,1058,1058,350,https://github.com/affaan-m/everything-claude-code
Kuberwastaken/claude-code,3121,3121,4395,1237,1237,1185,https://github.com/Kuberwastaken/claude-code
shareAI-lab/learn-claude-code,45114,45114,6958,120,120,46,https://github.com/shareAI-lab/learn-claude-code
claude-code-best/claude-code,1402,1402,1984,785,785,1011,https://github.com/claude-code-best/claude-code
ChinaSiro/claude-code-sourcemap,4469,4469,7924,450,450,745,https://github.com/ChinaSiro/claude-code-sourcemap
chatgptprojects/claude-code,1349,1349,1645,374,374,430,https://github.com/chatgptprojects/claude-code
hesreallyhim/awesome-claude-code,35068,35068,2591,77,77,25,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30877,30877,2395,19,19,6,https://github.com/musistudio/claude-code-router
jarmuine/claude-code,534,534,1989,182,182,528,https://github.com/jarmuine/claude-code
davila7/claude-code-templates,23923,23923,2322,17,17,6,https://github.com/davila7/claude-code-templates
sanbuphy/claude-code-source-code,3835,3835,7420,938,938,1633,https://github.com/sanbuphy/claude-code-source-code
shanraisshan/claude-code-best-practice,28589,28589,2401,435,435,53,https://github.com/shanraisshan/claude-code-best-practice
VoltAgent/awesome-claude-code-subagents,15819,15819,1780,28,28,7,https://github.com/VoltAgent/awesome-claude-code-subagents
instructkr/claw-code,58390,58390,60262,13337,13337,6067,https://github.com/instructkr/claw-code
pengchengneo/Claude-Code,454,454,911,51,51,117,https://github.com/pengchengneo/Claude-Code
anthropics/claude-code-action,6775,6775,1626,6,6,4,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,9385,9385,1200,3,3,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7662,7662,1125,14,14,4,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,7435,7435,1121,103,103,56,https://github.com/Piebald-AI/claude-code-system-prompts
frankbria/ralph-claude-code,8317,8317,606,7,7,3,https://github.com/frankbria/ralph-claude-code
oboard/claude-code-rev,906,906,1391,126,126,200,https://github.com/oboard/claude-code-rev
ykdojo/claude-code-tips,6998,6998,483,7,7,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5651,5651,499,5,5,1,https://github.com/ChrisWiles/claude-code-showcase
Onewon/claude-code,64,64,735,10,10,250,https://github.com/Onewon/claude-code
pedrohcgs/claude-code-my-workflow,814,814,1545,2,2,1,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3760,3760,553,1,1,0,https://github.com/OneRedOak/claude-code-workflows
tanbiralam/claude-code,217,217,370,57,57,86,https://github.com/tanbiralam/claude-code
beita6969/claude-code,151,151,384,10,10,23,https://github.com/beita6969/claude-code
1rgs/claude-code-proxy,3333,3333,442,1,1,2,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26103,26103,9960,11,11,39,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3447,3447,586,1,1,0,https://github.com/disler/claude-code-hooks-mastery
hangsman/claude-code-source,405,405,1001,28,28,85,https://github.com/hangsman/claude-code-source
zebbern/claude-code-guide,3769,3769,352,1,1,0,https://github.com/zebbern/claude-code-guide
sickn33/antigravity-awesome-skills,29476,29476,4913,118,118,12,https://github.com/sickn33/antigravity-awesome-skills
anthropics/skills,107553,107553,11933,105,105,29,https://github.com/anthropics/skills
kodu-ai/claude-coder,5287,5287,198,-1,-1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7240,7240,353,7,7,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2314,2314,383,1,1,-1,https://github.com/Yuyz0112/claude-code-reverse
ponponon/claude_code_src,393,393,755,191,191,358,https://github.com/ponponon/claude_code_src
fuergaosi233/claude-code-proxy,2295,2295,323,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4088,4088,344,4,4,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2299,2299,305,4,4,2,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2643,2643,378,16,16,2,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2542,2542,268,0,0,1,https://github.com/Cranot/claude-code-guide
Leonxlnx/claude-code-system-prompts,1082,1082,542,384,384,174,https://github.com/Leonxlnx/claude-code-system-prompts
anthropics/claude-code-base-action,743,743,590,0,0,1,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2233,2233,253,1,1,0,https://github.com/ding113/claude-code-hub
https-deeplearning-ai/sc-claude-code-files,469,469,639,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
router-for-me/CLIProxyAPI,21708,21708,3574,34,34,1,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1375,1375,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
obra/superpowers,128131,128131,10481,346,346,39,https://github.com/obra/superpowers
eyaltoledano/claude-task-master,26329,26329,2470,1,1,2,https://github.com/eyaltoledano/claude-task-master
Pimzino/claude-code-spec-workflow,3596,3596,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,32665,32665,3564,19,19,8,https://github.com/wshobson/agents
wanshuiyin/Auto-claude-code-research-in-sleep,5017,5017,413,13,13,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
anthropics/claude-plugins-official,15575,15575,1698,26,26,4,https://github.com/anthropics/claude-plugins-official
VineeTagarwaL-code/claude-code,157,157,157,35,35,37,https://github.com/VineeTagarwaL-code/claude-code
zhukunpenglinyutong/idea-claude-code-gui,2269,2269,263,2,2,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
zstmfhy/Claude-code,105,105,185,27,27,31,https://github.com/zstmfhy/Claude-code
snarktank/ralph,14159,14159,1441,9,9,0,https://github.com/snarktank/ralph
tvytlx/claude-code-deep-dive,1019,1019,372,198,198,78,https://github.com/tvytlx/claude-code-deep-dive
bfly123/claude_code_bridge,2009,2009,184,2,2,1,https://github.com/bfly123/claude_code_bridge
ghuntley/claude-code-source-code-deobfuscation,924,924,528,6,6,19,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,9213,9213,1182,13,13,0,https://github.com/siteboon/claudecodeui
feiskyer/claude-code-settings,1392,1392,207,1,1,0,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1711,1711,264,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,988,988,227,1,1,0,https://github.com/sugyan/claude-code-webui
centminmod/my-claude-code-setup,2138,2138,213,1,1,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1508,1508,239,2,2,0,https://github.com/lst97/claude-code-sub-agents
lowcortisolprogrammer/claude-code,136,136,124,26,26,19,https://github.com/lowcortisolprogrammer/claude-code
darcyegb/ClaudeCodeAgents,636,636,56,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
Alishahryar1/free-claude-code,1291,1291,170,9,9,3,https://github.com/Alishahryar1/free-claude-code
alirezarezvani/claude-skills,8393,8393,1001,44,44,11,https://github.com/alirezarezvani/claude-skills
slopus/happy,16804,16804,1337,6,6,2,https://github.com/slopus/happy
rohitg00/awesome-claude-code-toolkit,978,978,253,4,4,2,https://github.com/rohitg00/awesome-claude-code-toolkit
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
Yeachan-Heo/oh-my-claudecode,19002,19002,1413,421,421,66,https://github.com/Yeachan-Heo/oh-my-claudecode
freestylefly/claude-code,77,77,137,18,18,27,https://github.com/freestylefly/claude-code
farion1231/cc-switch,36357,36357,2168,23,23,0,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1370,1370,144,0,0,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1728,1728,132,4,4,0,https://github.com/trailofbits/claude-code-config
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2548,2548,431,14,14,6,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
catlog22/Claude-Code-Workflow,1637,1637,137,5,5,0,https://github.com/catlog22/Claude-Code-Workflow
steipete/claude-code-mcp,1212,1212,150,1,1,0,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1508,1508,191,3,3,1,https://github.com/Njengah/claude-code-cheat-sheet
jeremylongshore/claude-code-plugins-plus-skills,1784,1784,237,9,9,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,1013,1013,156,0,0,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1318,1318,363,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
JessyTsui/Claude-Code-Remote,1192,1192,128,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
jarrodwatts/claude-hud,15742,15742,657,33,33,1,https://github.com/jarrodwatts/claude-hud
0xfurai/claude-code-subagents,806,806,145,0,0,1,https://github.com/0xfurai/claude-code-subagents
ComposioHQ/awesome-claude-skills,49889,49889,5173,64,64,13,https://github.com/ComposioHQ/awesome-claude-skills
KPR111/Claude-Code,7,7,316,0,0,0,https://github.com/KPR111/Claude-Code
jarrodwatts/claude-code-config,1005,1005,126,0,0,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1646,1646,103,0,0,0,https://github.com/pchalasani/claude-code-tools
peterkrueck/Claude-Code-Development-Kit,1335,1335,152,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
alirezarezvani/claude-code-tresor,660,660,146,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,1026,1026,119,0,0,0,https://github.com/d-kimuson/claude-code-viewer
